"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9"
"1","feel","finally","daughter","dinner","day","found","time","watched","friend"
"2","moment","job","morning","nice","home","bought","family","played","birthday"
"3","life","school","hours","favorite","visit","dog","enjoyed","son","surprise"
"4","love","received","night","wife","sister","car","spend","game","brother"
"5","event","started","talked","husband","mother","walk","trip","movie","celebrated"
"6","live","finished","girlfriend","lunch","mom","house","weekend","won","gift"
"7","people","completed","called","food","parents","money","spent","fun","met"
"8","makes","weeks","told","eat","beautiful","shopping","planned","kids","party"
"9","person","book","phone","ate","excited","purchased","vacation","video","enjoyed"
"10","recently","college","baby","cooked","house","free","completed","night","meet"
"11","moved","ive","boyfriend","delicious","husband","helped","kids","enjoyed","received"
"12","excited","class","cat","restaurant","brother","buy","mom","daughter","bought"
"13","meet","project","sleep","night","lunch","didnt","husband","morning","home"
"14","didnt","daughter","started","morning","gift","morning","book","time","excited"
"15","helped","dinner","received","excited","told","moved","walk","meet","mom"
"16","house","home","son","girlfriend","surprise","boyfriend","home","bought","helped"
"17","gift","bought","moved","book","weekend","nice","ate","completed","son"
"18","book","watched","watched","enjoyed","fun","time","eat","love","family"
"19","hours","told","college","daughter","shopping","makes","sister","dinner","daughter"
"20","project","person","spent","shopping","received","visit","cooked","life","won"
